Timestamp,Date and Time,MAX,MIN,GUESS
1525651200,2018-05-07T00:00:00,85.007,15.3349,36.6689
1525737600,2018-05-08T00:00:00,83.4465,13.5222,35.5752
1525824000,2018-05-09T00:00:00,85.0891,13.7884,36.2755
1525910400,2018-05-10T00:00:00,85.3355,13.8283,36.3806
1525996800,2018-05-11T00:00:00,84.748,13.7331,36.1301
1526083200,2018-05-12T00:00:00,85.487,13.8528,36.4452
1526169600,2018-05-13T00:00:00,86.7586,14.0589,36.9873
1526256000,2018-05-14T00:00:00,85.6086,13.8725,36.497
1526342400,2018-05-15T00:00:00,86.5467,14.0246,36.8969
1526428800,2018-05-16T00:00:00,88.5525,14.3496,37.7521
1526515200,2018-05-17T00:00:00,87.0739,14.11,37.1217
1526601600,2018-05-18T00:00:00,88.8509,14.3979,37.8793
1526688000,2018-05-19T00:00:00,87.9201,14.2471,37.4825
1526774400,2018-05-20T00:00:00,87.5816,14.1923,37.3382
1526860800,2018-05-21T00:00:00,89.6972,14.5351,38.2401
1526947200,2018-05-22T00:00:00,90.1202,14.6036,38.4204
1527033600,2018-05-23T00:00:00,88.6817,14.3705,37.8072
1527120000,2018-05-24T00:00:00,90.0887,14.5985,38.407
1527206400,2018-05-25T00:00:00,93.0442,15.0774,39.667
1527292800,2018-05-26T00:00:00,94.2606,15.2746,40.1856
1527379200,2018-05-27T00:00:00,96.4991,15.6373,41.1399
1527465600,2018-05-28T00:00:00,96.9339,15.7078,41.3253
1527552000,2018-05-29T00:00:00,96.3814,15.6182,41.0897
1527638400,2018-05-30T00:00:00,97.9762,15.8767,41.7696
1527724800,2018-05-31T00:00:00,100.351,16.2615,42.782
1527811200,2018-06-01T00:00:00,99.4714,16.1189,42.4071
1527897600,2018-06-02T00:00:00,98.5919,15.9764,42.0321
1527984000,2018-06-03T00:00:00,98.5039,15.9622,41.9946
1528070400,2018-06-04T00:00:00,100.879,16.347,43.007
1528156800,2018-06-05T00:00:00,106.31,17.227,45.3223
1528243200,2018-06-06T00:00:00,105.837,17.1505,45.121
1528329600,2018-06-07T00:00:00,105.313,17.0656,44.8976
1528416000,2018-06-08T00:00:00,105.343,17.0704,44.9102
1528502400,2018-06-09T00:00:00,106.402,17.242,45.3617
1528588800,2018-06-10T00:00:00,104.879,16.9953,44.7126
1528675200,2018-06-11T00:00:00,102.909,16.6761,43.8727
1528761600,2018-06-12T00:00:00,99.8826,16.1856,42.5824
1528848000,2018-06-13T00:00:00,99.479,16.1202,42.4103
1528934400,2018-06-14T00:00:00,100.488,16.2837,42.8404
1529020800,2018-06-15T00:00:00,101.295,16.4145,43.1845
1529107200,2018-06-16T00:00:00,103.616,16.7905,44.1738
1529193600,2018-06-17T00:00:00,106.642,17.281,45.4642
1529280000,2018-06-18T00:00:00,109.064,17.6734,46.4965
1529366400,2018-06-19T00:00:00,110.506,17.907,47.1112
1529452800,2018-06-20T00:00:00,112.149,18.1734,47.812
1529539200,2018-06-21T00:00:00,114.339,18.5282,48.7456
1529625600,2018-06-22T00:00:00,114.559,18.5639,48.8394
